year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2006,ABW,100832,39613.76247,,
2007,ABW,101220,40172.3172,,
2008,ABW,101353,40083.20968,,
2009,ABW,101453,35831.20431,,
2010,ABW,101669,34437.49417,,
2011,ABW,102053,35490.18398,,
2012,ABW,102577,34825.20404,,
2013,ABW,103187,36072.73142,,
2014,ABW,103795,36165.61478,,
2015,ABW,104341,35814.26144,,
2016,ABW,104822,35574.61783,,
2017,ABW,,,39492.85908,25630.26649
2006,AFG,25893450,1147.291911,,
2007,AFG,26616792,1270.430271,,
2008,AFG,27294031,1287.534365,,
2009,AFG,28004331,1523.302341,,
2010,AFG,28803167,1693.770199,,
2011,AFG,29708599,1649.150373,,
2012,AFG,30696958,1799.585351,,
2013,AFG,31731688,1838.406701,,
2014,AFG,32758020,1829.327005,,
2015,AFG,33736494,1802.04952,,
2016,AFG,34656032,1793.886474,,
2017,AFG,,,1976.363239,556.3021385
2006,AGO,20262399,5469.704874,,
2007,AGO,20997687,6017.641547,,
2008,AGO,21759420,6455.397306,,
2009,AGO,22549547,6282.693748,,
2010,AGO,23369131,6356.934991,,
2011,AGO,24218565,6346.944372,,
2012,AGO,25096150,6648.205057,,
2013,AGO,25998340,6735.461021,,
2014,AGO,26920466,6818.446016,,
2015,AGO,27859305,6650.838253,,
2016,AGO,28813463,6264.680082,,
2017,AGO,,,6657.853891,4095.812942
2006,ALB,2992547,7913.413328,,
2007,ALB,2970017,8450.254911,,
2008,ALB,2947314,9153.997774,,
2009,ALB,2927519,9524.626805,,
2010,ALB,2913021,9927.15286,,
2011,ALB,2905195,10207.71889,,
2012,ALB,2900401,10369.78016,,
2013,ALB,2895092,10492.68416,,
2014,ALB,2889104,10700.53689,,
2015,ALB,2880703,10969.98758,,
2016,ALB,2876101,11355.62307,,
2017,ALB,,,12943.4455,4532.889198
2006,AND,80991,,,
2007,AND,82683,,,
2008,AND,83861,,,
2009,AND,84462,,,
2010,AND,84449,,,
2011,AND,83751,,,
2012,AND,82431,,,
2013,AND,80788,,,
2014,AND,79223,,,
2015,AND,78014,,,
2016,AND,77281,,,
2017,AND,,,,39134.39337
2006,ARE,5242032,88086.35738,,
2007,ARE,6044067,78830.27664,,
2008,ARE,6894278,71314.66882,,
2009,ARE,7666393,60769.86103,,
2010,ARE,8270684,57232.61808,,
2011,ARE,8672475,58363.67822,,
2012,ARE,8900453,59419.08949,,
2013,ARE,9006263,61688.3803,,
2014,ARE,9070867,63943.18583,,
2015,ARE,9154302,66569.40341,,
2016,ARE,9269612,67705.94933,,
2017,ARE,,,74035.24746,40325.382
2006,ARG,39558890,16592.26489,,
2007,ARG,39970224,17900.70634,,
2008,ARG,40382389,18436.86247,,
2009,ARG,40799407,17168.37894,,
2010,ARG,41223889,18712.06308,,
2011,ARG,41656879,19629.35185,,
2012,ARG,42096739,19224.8744,,
2013,ARG,42539925,19482.1903,,
2014,ARG,42981515,18797.54795,,
2015,ARG,43417765,19116.90791,,
2016,ARG,43847430,18584.58,,
2017,ARG,,,20828.87632,14591.86338
2006,ARM,2958500,6110.226191,,
2007,ARM,2933056,7010.627056,,
