year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2006,ABW,100834,39613,36362,24045
2007,ABW,101222,40172,37865,25835
2008,ABW,101358,40081,38515,27085
2009,ABW,101455,35830,34693,24630
2010,ABW,101669,34437,33733,23513
2011,ABW,102046,35493,35493,24986
2012,ABW,102560,34831,35499,24714
2013,ABW,103159,36083,37420,25025
2014,ABW,103774,36173,38223,25534
2015,ABW,104341,35814,38249,25796
2016,ABW,104872,35558,38390,25240
2017,ABW,105366,35862,39455,25630
2018,ABW,105845,,,
2006,AFG,26433049,1124,1032,264
2007,AFG,27100536,1248,1176,360
2008,AFG,27722276,1268,1218,365
2009,AFG,28394813,1502,1455,438
2010,AFG,29185507,1672,1637,543
2011,AFG,30117413,1627,1627,591
2012,AFG,31161376,1773,1807,642
2013,AFG,32269589,1808,1875,637
2014,AFG,33370794,1796,1898,614
2015,AFG,34413603,1767,1887,578
2016,AFG,35383128,1757,1897,547
2017,AFG,36296400,1758,1935,556
2018,AFG,37172386,1735,1955,521
2006,AGO,20149901,5500,5049,2600
2007,AGO,20905363,6044,5697,3122
2008,AGO,21695634,6474,6221,4081
2009,AGO,22514281,6293,6093,3123
2010,AGO,23356246,6360,6230,3588
2011,AGO,24220661,6346,6346,4615
2012,AGO,25107931,6645,6773,5100
2013,AGO,26015780,6731,6980,5255
2014,AGO,26941779,6813,7199,5408
2015,AGO,27884381,6645,7097,4167
2016,AGO,28842484,6258,6757,3506
2017,AGO,29816748,6045,6651,4096
2018,AGO,30809762,5725,6452,3432
2006,ALB,2992547,7914,6560,2973
2007,ALB,2970017,8451,7276,3595
2008,ALB,2947314,9155,8228,4371
2009,ALB,2927519,9525,8815,4114
2010,ALB,2913021,9928,9628,4094
2011,ALB,2905195,10208,10208,4437
2012,ALB,2900401,10370,10526,4248
2013,ALB,2895092,10493,10571,4413
2014,ALB,2889104,10701,11259,4579
2015,ALB,2880703,10970,11662,3953
2016,ALB,2876101,11352,11868,4124
2017,ALB,2873457,11797,12930,4533
2018,ALB,2866376,12316,13364,5269
2006,AND,80993,,,43748
2007,AND,82684,,,48582
2008,AND,83862,,,47785
2009,AND,84463,,,43339
2010,AND,84449,,,39736
2011,AND,83747,,,41101
2012,AND,82427,,,38393
2013,AND,80774,,,40627
2014,AND,79213,,,42300
2015,AND,78011,,,36040
2016,AND,77297,,,37224
2017,AND,77001,,,39134
2018,AND,77006,,,42030
2006,ARE,5300174,87120,79971,41907
2007,ARE,6168838,77236,72802,41810
2008,ARE,7089487,69351,66641,44499
2009,ARE,7917372,58843,56976,32024
2010,ARE,8549988,55363,54230,33893
2011,ARE,8946777,56574,56574,39195
2012,ARE,9141596,57852,58961,40976
2013,ARE,9197910,60403,62642,42413
2014,ARE,9214175,62880,66444,43752
2015,ARE,9262900,65743,70212,38663
2016,ARE,9360980,67045,72386,38142
2017,ARE,9487203,66478,73138,39812
2018,ARE,9630959,66616,75075,43005
2006,ARG,39289878,16706,15335,5919
2007,ARG,39684295,18030,16995,7245
2008,ARG,40080160,18576,17850,9021
2009,ARG,40482788,17303,16753,8225
2010,ARG,40788453,18912,18525,10386
2011,ARG,41261490,19817,19817,12849
2012,ARG,41733271,19392,19764,13083
2013,ARG,42202935,19638,20366,13080
2014,ARG,42669500,18935,20008,12335
2015,ARG,43131966,19244,20552,13789
2016,ARG,43590368,18645,20130,12790
2017,ARG,44044811,18945,20843,14592
2018,ARG,44494502,18288,20611,11684
2006,ARM,2958307,6111,5609,2158
2007,ARM,2932618,7012,6609,3139
2008,ARM,2907618,7560,7265,4011
2009,ARM,2888092,6534,6327,2994
2010,ARM,2877319,6703,6566,3218
2011,ARM,2876538,7020,7020,3526
2012,ARM,2884229,7505,7649,3682
2013,ARM,2897584,7717,8003,3838
2014,ARM,2912403,7954,8405,3986
2015,ARM,2925553,8172,8727,3607
2016,ARM,2936146,8159,8809,3592
2017,ARM,2944809,8745,9621,3915
2018,ARM,2951776,9178,10343,4212
2006,ASM,59107,,,8392
2007,ASM,58365,,,8909
2008,ASM,57492,,,9793
2009,ASM,56683,,,11961
2010,ASM,56079,,,10271
2011,ASM,55759,,,10294
2012,ASM,55667,,,11569
2013,ASM,55713,,,11505
2014,ASM,55791,,,11507
2015,ASM,55812,,,11843
2016,ASM,55741,,,11697
2017,ASM,55620,,,10823
2018,ASM,55465,,,11467
2006,ATG,82704,24657,22634,13990
2007,ATG,84026,26517,24995,15607
2008,ATG,85397,26083,25064,16024
2009,ATG,86746,22569,21852,14113
2010,ATG,88028,20555,20135,13049
2011,ATG,89253,19876,19876,12746
2012,ATG,90409,20284,20673,13272
2013,ATG,91516,19918,20656,12910
2014,ATG,92562,20441,21599,13502
2015,ATG,93566,20995,22422,14286
2016,ATG,94527,21924,23670,15198
2017,ATG,95426,22400,24645,15383
2018,ATG,96286,23841,26868,16727
2006,AUS,20697900,39471,34307,36045
2007,AUS,20827600,40733,36560,40960
2008,AUS,21249200,41385,37459,49602
2009,AUS,21691700,41326,40300,42772
2010,AUS,22031750,41530,39324,52022
2011,AUS,22340024,41965,41965,62518
2012,AUS,22733465,42855,42827,68012
2013,AUS,23128129,43212,45902,68150
2014,AUS,23475686,43651,46880,62511
2015,AUS,23815995,43971,46276,56756
2016,AUS,24190907,44489,47306,49971
2017,AUS,24601860,44781,49629,54066
2018,AUS,24982688,45378,51663,57374
2006,AUT,8268641,42498,37623,40635
2007,AUT,8295487,43939,39393,46856
2008,AUT,8321496,44442,41316,51709
2009,AUT,8343323,42657,40927,47963
2010,AUT,8363404,43336,42006,46858
2011,AUT,8391643,44453,44453,51375
2012,AUT,8429991,44552,46457,48568
2013,AUT,8479823,44301,47922,50717
2014,AUT,8546356,44247,48800,51717
2015,AUT,8642699,44198,49879,44178
2016,AUT,8736668,44633,51810,45238
2017,AUT,8797566,45421,53937,47432
2018,AUT,8840521,46260,55455,51462
2006,AZE,8484550,10882,9989,2473
2007,AZE,8581300,13499,12724,3851
2008,AZE,8763400,14619,14048,5575
2009,AZE,8947243,15660,15163,4950
2010,AZE,9054332,16216,15884,5843
2011,AZE,9173082,15754,15754,7190
2012,AZE,9295784,15889,16193,7496
2013,AZE,9416801,16601,17216,7876
2014,AZE,9535079,16854,17809,7891
