country_code,country_status,related_country_code,high_income_country,region_code,subregion_code,group_codes,treaty_codes,OECD_country
AFG,,,0,south-asia,,"oic,not-oecd","icescr,iccpr",
ALB,,,0,europe-central-asia,europe,"oic,not-oecd","icescr,iccpr",
DZA,,,0,middle-east-north-africa,north-africa,"oic,not-oecd","icescr,iccpr",
ASM,unincorporated,USA,0,east-asia-pacific,pacific,not-oecd,,
AND,,,1,europe-central-asia,europe,not-oecd,iccpr,
AGO,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
ATG,,,1,americas,,not-oecd,"icescr,iccpr",
ARG,,,1,americas,,not-oecd,"icescr,iccpr",
ARM,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
ABW,,,1,americas,,not-oecd,,
AUS,,,1,east-asia-pacific,pacific,oecd,"icescr,iccpr",
AUT,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
AZE,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
BHS,,,1,americas,,not-oecd,"icescr,iccpr",
BHR,,,1,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
BGD,,,0,south-asia,,"oic,not-oecd","icescr,iccpr",
BRB,,,1,americas,,not-oecd,"icescr,iccpr",
BLR,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
BEL,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
BLZ,,,0,americas,,not-oecd,"icescr,iccpr",
BEN,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
BMU,,,1,americas,,not-oecd,,
BTN,,,0,south-asia,,not-oecd,,
BOL,,,0,americas,,not-oecd,"icescr,iccpr",
BIH,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
BWA,,,0,sub-saharan-africa,,not-oecd,iccpr,
BRA,,,0,americas,,not-oecd,"icescr,iccpr",
VGB,,,1,americas,,not-oecd,,
BRN,,,1,east-asia-pacific,east-asia,"asean,oic,not-oecd",,
BGR,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
BFA,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
BDI,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
CPV,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
KHM,,,0,east-asia-pacific,east-asia,"asean,not-oecd","icescr,iccpr",
CMR,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
CAN,,,1,americas,,oecd,"icescr,iccpr",
CYM,,,1,americas,,not-oecd,,
CAF,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
TCD,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
CHI,,,1,europe-central-asia,europe,not-oecd,,
CHL,,,1,americas,,oecd,"icescr,iccpr",
CHN,,,0,east-asia-pacific,east-asia,not-oecd,icescr,
COL,,,0,americas,,not-oecd,"icescr,iccpr",
COM,,,0,sub-saharan-africa,,"oic,not-oecd",,
COD,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
COG,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
COK,associated,NZL,1,east-asia-pacific,pacific,not-oecd,,
CRI,,,0,americas,,not-oecd,"icescr,iccpr",
CIV,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
HRV,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
CUB,,,0,americas,,not-oecd,,
CUW,,,1,americas,,not-oecd,,
CYP,,,1,europe-central-asia,central-asia,not-oecd,"icescr,iccpr",
CZE,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
DNK,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
DJI,,,0,middle-east-north-africa,north-africa,"oic,not-oecd","icescr,iccpr",
DMA,,,0,americas,,not-oecd,"icescr,iccpr",
DOM,,,0,americas,,not-oecd,"icescr,iccpr",
ECU,,,0,americas,,not-oecd,"icescr,iccpr",
EGY,,,0,middle-east-north-africa,north-africa,"oic,not-oecd","icescr,iccpr",
SLV,,,0,americas,,not-oecd,"icescr,iccpr",
GNQ,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
ERI,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
EST,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
SWZ,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
ETH,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
FRO,,,1,europe-central-asia,europe,not-oecd,,
FJI,,,0,east-asia-pacific,pacific,not-oecd,"icescr,iccpr",
FIN,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
FRA,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
PYF,collectivity_overseas,FRA,1,east-asia-pacific,pacific,not-oecd,,
GAB,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
GMB,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
GEO,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
DEU,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
GHA,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
GIB,,,1,europe-central-asia,europe,not-oecd,,
GRC,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
GRL,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
GRD,,,0,americas,,not-oecd,"icescr,iccpr",
GUM,unincorporated,USA,1,east-asia-pacific,pacific,not-oecd,,
GTM,,,0,americas,,not-oecd,"icescr,iccpr",
GIN,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
GNB,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
GUY,,,0,americas,,"oic,not-oecd","icescr,iccpr",
HTI,,,0,americas,,not-oecd,"icescr,iccpr",
HND,,,0,americas,,not-oecd,"icescr,iccpr",
HKG,,,1,east-asia-pacific,east-asia,not-oecd,,
HUN,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
ISL,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
IND,,,0,south-asia,,not-oecd,"icescr,iccpr",
IDN,,,0,east-asia-pacific,east-asia,"asean,oic,not-oecd","icescr,iccpr",
IRN,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
IRQ,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
IRL,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
IMN,,,1,europe-central-asia,europe,not-oecd,,
ISR,,,1,middle-east-north-africa,middle-east,oecd,"icescr,iccpr",
ITA,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
JAM,,,0,americas,,not-oecd,"icescr,iccpr",
JPN,,,1,east-asia-pacific,east-asia,oecd,"icescr,iccpr",
JOR,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
KAZ,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
KEN,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
KIR,,,0,east-asia-pacific,pacific,not-oecd,,
PRK,,,0,east-asia-pacific,east-asia,not-oecd,"icescr,iccpr",
KOR,,,1,east-asia-pacific,east-asia,oecd,"icescr,iccpr",
XKX,,,0,europe-central-asia,europe,not-oecd,,
KWT,,,1,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
KGZ,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
LAO,,,0,east-asia-pacific,east-asia,"asean,not-oecd","icescr,iccpr",
LVA,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
LBN,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
LSO,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
LBR,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
LBY,,,0,middle-east-north-africa,north-africa,"oic,not-oecd","icescr,iccpr",
LIE,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
LTU,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
LUX,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
MAC,,,1,east-asia-pacific,east-asia,not-oecd,,
MDG,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
MWI,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
MYS,,,0,east-asia-pacific,east-asia,"asean,oic,not-oecd",,
MDV,,,0,south-asia,,"oic,not-oecd","icescr,iccpr",
MLI,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
MLT,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
MHL,,,0,east-asia-pacific,pacific,not-oecd,"icescr,iccpr",
MRT,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
MUS,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
MEX,,,0,americas,,oecd,"icescr,iccpr",
FSM,,,0,east-asia-pacific,pacific,not-oecd,,
MDA,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
MCO,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
MNG,,,0,east-asia-pacific,east-asia,not-oecd,"icescr,iccpr",
MNE,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
MAR,,,0,middle-east-north-africa,north-africa,"oic,not-oecd","icescr,iccpr",
MOZ,,,0,sub-saharan-africa,,"oic,not-oecd",iccpr,
MMR,,,0,east-asia-pacific,east-asia,"asean,not-oecd",icescr,
NAM,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
NRU,,,0,east-asia-pacific,pacific,not-oecd,,
NPL,,,0,south-asia,,not-oecd,"icescr,iccpr",
NLD,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
NCL,collectivity_special,FRA,1,east-asia-pacific,pacific,not-oecd,,
NZL,,,1,east-asia-pacific,pacific,oecd,"icescr,iccpr",
NIC,,,0,americas,,not-oecd,"icescr,iccpr",
NER,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
NGA,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
NIU,selfgoverning,NZL,1,east-asia-pacific,pacific,not-oecd,,
MKD,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
MNP,commonwealth_politicalunion,USA,1,east-asia-pacific,pacific,not-oecd,,
NOR,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
OMN,,,1,middle-east-north-africa,middle-east,"oic,not-oecd",,
PAK,,,0,south-asia,,"oic,not-oecd","icescr,iccpr",
PLW,associated,USA,1,east-asia-pacific,pacific,not-oecd,,
PAN,,,1,americas,,not-oecd,"icescr,iccpr",
PNG,,,0,east-asia-pacific,pacific,not-oecd,"icescr,iccpr",
PRY,,,0,americas,,not-oecd,"icescr,iccpr",
PER,,,0,americas,,not-oecd,"icescr,iccpr",
PHL,,,0,east-asia-pacific,east-asia,"asean,not-oecd","icescr,iccpr",
POL,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
PRT,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
PRI,,,1,americas,,not-oecd,,
QAT,,,1,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
ROU,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
RUS,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
RWA,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
WSM,,,0,east-asia-pacific,pacific,not-oecd,iccpr,
SMR,,,1,europe-central-asia,europe,not-oecd,"icescr,iccpr",
STP,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
SAU,,,1,middle-east-north-africa,middle-east,"oic,not-oecd",,
SEN,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
SRB,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
SYC,,,1,sub-saharan-africa,,not-oecd,"icescr,iccpr",
SLE,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
SGP,,,1,east-asia-pacific,east-asia,"asean,not-oecd",,
SXM,,,1,americas,,not-oecd,,
SVK,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
SVN,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
SLB,,,0,east-asia-pacific,pacific,not-oecd,icescr,
SOM,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
ZAF,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
SSD,,,0,sub-saharan-africa,,not-oecd,,
ESP,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
LKA,,,0,south-asia,,not-oecd,"icescr,iccpr",
KNA,,,1,americas,,not-oecd,,
LCA,,,0,americas,,not-oecd,,
MAF,,,1,americas,,not-oecd,,
VCT,,,0,americas,,not-oecd,"icescr,iccpr",
SDN,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
SUR,,,0,americas,,"oic,not-oecd","icescr,iccpr",
SWE,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
CHE,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
SYR,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
TWN,,,1,east-asia-pacific,east-asia,not-oecd,,
TJK,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
TZA,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
THA,,,0,east-asia-pacific,east-asia,"asean,not-oecd","icescr,iccpr",
TLS,,,0,east-asia-pacific,east-asia,not-oecd,"icescr,iccpr",
TGO,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
TKL,nonselfgoverning,NZL,1,east-asia-pacific,pacific,not-oecd,,
TON,,,0,east-asia-pacific,pacific,not-oecd,,
TTO,,,1,americas,,not-oecd,"icescr,iccpr",
TUN,,,0,middle-east-north-africa,north-africa,not-oecd,"icescr,iccpr",
TUR,,,0,europe-central-asia,central-asia,"oic,oecd","icescr,iccpr",
TKM,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
TCA,,,1,americas,,not-oecd,,
TUV,,,0,east-asia-pacific,pacific,not-oecd,,
UGA,,,0,sub-saharan-africa,,"oic,not-oecd","icescr,iccpr",
UKR,,,0,europe-central-asia,europe,not-oecd,"icescr,iccpr",
ARE,,,1,middle-east-north-africa,middle-east,"oic,not-oecd",,
GBR,,,1,europe-central-asia,europe,oecd,"icescr,iccpr",
USA,,,1,americas,,oecd,iccpr,
URY,,,1,americas,,not-oecd,"icescr,iccpr",
UZB,,,0,europe-central-asia,central-asia,"oic,not-oecd","icescr,iccpr",
VUT,,,0,east-asia-pacific,pacific,not-oecd,iccpr,
VEN,,,0,americas,,not-oecd,"icescr,iccpr",
VNM,,,0,east-asia-pacific,east-asia,"asean,not-oecd","icescr,iccpr",
VIR,,,1,americas,,not-oecd,,
WLF,collectivity_overseas,FRA,1,east-asia-pacific,pacific,not-oecd,,
PSE,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
YEM,,,0,middle-east-north-africa,middle-east,"oic,not-oecd","icescr,iccpr",
ZMB,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
ZWE,,,0,sub-saharan-africa,,not-oecd,"icescr,iccpr",
