year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,AGO,arrest,2.513636827,0.585857511,1.763739228,3.263534546
2018,AGO,arrest,3.784317732,0.667779982,2.929559469,4.639076233
2017,AGO,assem,2.707835913,0.356527537,2.251480579,3.164191246
2018,AGO,assem,4.190519333,0.416172922,3.657818079,4.723220825
2017,AGO,disap,6.234316349,1.262267947,4.618613243,7.850019455
2018,AGO,disap,6.948130131,1.089091539,5.554092884,8.342166901
2017,AGO,dpex,8.389582634,0.679747939,7.519505501,9.259659767
2018,AGO,dpex,8.382258415,0.691667438,7.496923923,9.26759243
2017,AGO,empower,2.866873503,0.941183805,1.662158251,4.071588993
2018,AGO,empower,4.724058151,0.988508463,3.458767414,5.989348888
2017,AGO,execution,4.361511707,0.93759948,3.161384344,5.561638832
2018,AGO,execution,5.18499279,0.626930296,4.382522106,5.987463474
2017,AGO,exkill,4.361511707,0.93759948,3.161384344,5.561638832
2018,AGO,exkill,5.18499279,0.626930296,4.382522106,5.987463474
2017,AGO,express,3.002013922,0.694940746,2.1124897,3.891538143
2018,AGO,express,4.927723885,0.910961211,3.761693478,6.093754292
2017,AGO,physint,5.440723896,1.075493097,4.064092636,6.817355156
2018,AGO,physint,5.8220644,0.914795458,4.651126385,6.993002415
2017,AGO,polpart,3.081946611,0.358284712,2.623342276,3.540550947
2018,AGO,polpart,4.422420025,0.74108547,3.4738307,5.37100935
2017,AGO,tort,1.955348015,0.603205085,1.18324554,2.727450609
2018,AGO,tort,2.997627258,0.786437571,1.990987182,4.004267216
2017,AUS,arrest,6.308287621,0.543978631,5.611994743,7.004580498
2018,AUS,arrest,6.325917721,0.546181858,5.626804829,7.025030613
2017,AUS,assem,6.486613274,0.466340274,5.889697552,7.083528996
2018,AUS,assem,6.474365711,0.469944298,5.872837067,7.075894356
2017,AUS,disap,9.00633049,0.250880688,8.685203552,9.327457428
2018,AUS,disap,8.994235039,0.249126673,8.67535305,9.313117027
2017,AUS,dpex,9.149823189,0.203855321,8.888888359,9.410758018
2018,AUS,dpex,9.160498619,0.200953826,8.903277397,9.417719841
2017,AUS,empower,7.003889084,0.991619349,5.73461628,8.273161888
2018,AUS,empower,7.082429886,1.017324209,5.780254841,8.384604454
2017,AUS,execution,8.559463501,0.295339674,8.181428909,8.937498093
2018,AUS,execution,8.560712814,0.299417555,8.177458763,8.943966866
2017,AUS,exkill,8.559463501,0.295339674,8.181428909,8.937498093
2018,AUS,exkill,8.560712814,0.299417555,8.177458763,8.943966866
2017,AUS,express,6.297670364,0.546781063,5.597790718,6.997550011
2018,AUS,express,6.297929764,0.519595385,5.632847786,6.963011742
2017,AUS,physint,7.95443058,0.900308192,6.802036285,9.106824875
2018,AUS,physint,8.01906395,0.893910527,6.874858379,9.163269043
2017,AUS,polpart,7.620175838,0.326351672,7.202445507,8.037905693
2018,AUS,polpart,7.625113487,0.334494054,7.196960926,8.053265572
2017,AUS,tort,5.579587936,0.633146822,4.769159794,6.390016079
2018,AUS,tort,5.53453207,0.621311307,4.739253521,6.329810619
2017,BRA,arrest,4.20061779,0.599713802,3.432984114,4.968251228
2018,BRA,arrest,4.002108097,0.641002178,3.181625366,4.822590828
2017,BRA,assem,5.501266003,0.629104316,4.696012497,6.306519508
2018,BRA,assem,5.346908092,0.670231462,4.489011765,6.20480442
2017,BRA,disap,5.083788395,0.626746535,4.281552792,5.886023998
2018,BRA,disap,4.970974445,0.617343843,4.180774212,5.761174679
2017,BRA,dpex,9.181563377,0.258817464,8.850276947,9.512849808
2018,BRA,dpex,9.174115181,0.246476009,8.858625412,9.48960495
2017,BRA,empower,5.492381573,0.974153042,4.245465755,6.73929739
2018,BRA,empower,4.782657146,0.985500872,3.521215916,6.044098377
2017,BRA,execution,2.293627501,0.603629589,1.520981669,3.066273451
2018,BRA,execution,2.271269083,0.621510148,1.475736141,3.066802025
2017,BRA,exkill,2.293627501,0.603629589,1.520981669,3.066273451
2018,BRA,exkill,2.271269083,0.621510148,1.475736141,3.066802025
2017,BRA,express,5.136140347,0.604281604,4.362659931,5.909620762
2018,BRA,express,4.633838177,0.565858245,3.9095397,5.358136654
2017,BRA,physint,4.495775223,0.965232313,3.260277748,5.731272697
2018,BRA,physint,4.339342117,0.955090821,3.116825819,5.561858177
2017,BRA,polpart,5.010301113,0.549004793,4.307574749,5.713027477
2018,BRA,polpart,4.829361916,0.574783742,4.093638897,5.565084934
2017,BRA,tort,1.936575294,0.687486172,1.056592941,2.816557646
2018,BRA,tort,1.851683855,0.656533778,1.011320591,2.692047119
2017,FJI,arrest,4.949117184,0.81697005,3.903395414,5.994838715
2018,FJI,arrest,5.000197887,0.840381682,3.924509287,6.07588625
2017,FJI,assem,3.448668003,0.547466993,2.747910261,4.149425983
2018,FJI,assem,3.702600241,0.465770513,3.10641408,4.29878664
2017,FJI,disap,8.893503189,0.367685258,8.422865868,9.364140511
2018,FJI,disap,8.906578064,0.364054918,8.440587997,9.37256813
2017,FJI,dpex,9.384685516,0.266980886,9.042949677,9.726421356
2018,FJI,dpex,9.395246506,0.257247388,9.065969467,9.724523544
2017,FJI,empower,3.467215061,0.992717147,2.196537018,4.737893105
2018,FJI,empower,3.45835638,0.94791919,2.245019913,4.671692848
2017,FJI,execution,7.337507248,0.883545756,6.206568718,8.468445778
2018,FJI,execution,7.430296898,0.878531396,6.305776596,8.5548172
2017,FJI,exkill,7.337507248,0.883545756,6.206568718,8.468445778
2018,FJI,exkill,7.430296898,0.878531396,6.305776596,8.5548172
2017,FJI,express,2.797291517,0.275221258,2.445008278,3.149574757
2018,FJI,express,2.68301177,0.259725481,2.350563049,3.015460491
2017,FJI,physint,7.456133366,0.90683794,6.295380592,8.616886139
2018,FJI,physint,7.487626076,0.958675265,6.260521889,8.714730263
2017,FJI,polpart,4.194787502,0.743662357,3.242899656,5.14667511
2018,FJI,polpart,4.036175728,0.725946128,3.106964588,4.965386868
2017,FJI,tort,3.997921467,0.653321862,3.161669493,4.834173679
2018,FJI,tort,3.951468945,0.611347795,3.168943882,4.733994007
2017,KAZ,arrest,3.03164196,0.672807217,2.17044878,3.89283514
2018,KAZ,arrest,3.060912848,0.683289826,2.186301947,3.935523748
2017,KAZ,assem,1.471094012,0.233807221,1.17182076,1.770367265
2018,KAZ,assem,1.409693718,0.238093168,1.104934454,1.714452982
2017,KAZ,disap,7.554222584,0.4016729,7.040081501,8.068364143
2018,KAZ,disap,7.371306896,0.381337583,6.883194923,7.859418869
2017,KAZ,dpex,8.976430893,0.222245291,8.69195652,9.260905266
2018,KAZ,dpex,8.99237442,0.227302596,8.70142746,9.283321381
2017,KAZ,empower,1.744032621,0.96662879,0.506747782,2.98131752
2018,KAZ,empower,1.602494836,0.962183416,0.370900065,2.834089518
2017,KAZ,execution,7.301764965,0.557176709,6.588578701,8.014950752
