year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,AGO,disap,5.5181332,1.0756643,4.141283,6.8949833
2018,AGO,disap,6.2636805,.54693437,5.5636044,6.9637566
2019,AGO,disap,6.1645317,.88988394,5.0254803,7.3035831
2018,ASM,disap,7.0532751,.91078645,5.8874683,8.2190819
2019,ASM,disap,7.0860868,.90138841,5.9323096,8.2398643
2017,AUS,disap,7.665607,.21166362,7.3946776,7.9365363
2018,AUS,disap,7.7076149,.18086384,7.476109,7.9391208
2019,AUS,disap,7.5752783,.46434215,6.9809203,8.1696358
2017,BRA,disap,4.566505,.53401256,3.8829689,5.250041
2018,BRA,disap,4.3135242,.33009249,3.8910058,4.7360425
2019,BRA,disap,4.1425638,.48242158,3.5250642,4.7600636
2017,COD,disap,4.3905802,1.0024457,3.1074498,5.6737108
2018,COD,disap,3.6804121,.6320864,2.8713415,4.4894829
2019,COD,disap,5.0844798,.72575957,4.1555076,6.0134521
2018,COK,disap,7.7388287,.59688681,6.9748135,8.5028439
2019,COK,disap,7.7057195,.55583453,6.9942513,8.4171877
2017,FJI,disap,7.5889897,.32075965,7.1784172,7.9995623
2018,FJI,disap,7.8102298,.25188482,7.4878173,8.1326427
2019,FJI,disap,8.2242889,.49145067,7.595232,8.8533459
2017,GBR,disap,7.3016915,.24779144,6.9845185,7.6188645
2018,GBR,disap,7.4118066,.21004108,7.1429539,7.6806593
2019,GBR,disap,7.9620051,.46530956,7.3664088,8.557601
2018,GUM,disap,8.6545544,.6238879,7.855978,9.4531307
2019,GUM,disap,8.6862574,.64432198,7.8615251,9.5109892
2017,JOR,disap,7.037601,.5938583,6.2774625,7.7977395
2018,JOR,disap,6.7798238,.42449886,6.2364655,7.3231821
2019,JOR,disap,5.9293485,.64067233,5.1092877,6.7494092
2017,KAZ,disap,6.5547686,.30507794,6.164269,6.9452682
2018,KAZ,disap,6.4176764,.23894094,6.1118321,6.7235208
2019,KAZ,disap,5.5285211,.70897299,4.6210356,6.4360065
2017,KGZ,disap,7.1247783,.41887605,6.5886168,7.6609397
2018,KGZ,disap,7.303041,.38723931,6.8073745,7.7987075
2019,KGZ,disap,8.1537943,.89455801,7.00876,9.2988281
2017,KOR,disap,7.4559321,.52310044,6.7863636,8.1255007
2018,KOR,disap,7.8324761,.44115272,7.2678008,8.3971519
2019,KOR,disap,8.7399282,.86432767,7.6335888,9.8462677
2017,LBR,disap,6.3460164,.59805167,5.5805101,7.1115227
2018,LBR,disap,7.3057866,.36912975,6.8333006,7.7782726
2019,LBR,disap,7.0335431,.60932022,6.253613,7.8134732
2017,MEX,disap,1.596957,.63023138,.79026079,2.4036531
2018,MEX,disap,1.2327045,.4965874,.59707266,1.8683364
2019,MEX,disap,1.8539463,.87819159,.72986108,2.9780316
2018,MHL,disap,6.8268218,1.5673667,4.8205924,8.8330517
2019,MHL,disap,8.3492765,1.2511818,6.7477636,9.9507895
2017,MOZ,disap,4.1971731,.65553379,3.3580899,5.0362563
2018,MOZ,disap,4.1236787,.52052784,3.4574029,4.7899542
2019,MOZ,disap,4.2252989,.75422966,3.2598848,5.1907129
