year,country_code,metric_code,group,value,immediate_duty,score_wrt_immediate_duty,score_wrt_global_best,penalty,immediate_duty_wrt_global_best
2016,AFG,SurvivalTo65,All,63.44230579,73.0215413,83.20067243,61.61338414,0,74.05394974
2016,AFG,SurvivalTo65,Female,66.59025,74.86806251,85.93836428,63.2378125,0,73.58507814
2016,AFG,SurvivalTo65,Male,60.47408,68.87843933,84.10626442,59.29877333,0,70.50458577
2016,AFG,U5Survival,All,92.96,96.94901341,86.22055491,78,0,90.4656669
2016,AGO,Contraception,All,12.5,79.97693704,15.62950578,14.70588235,0,94.09051416
2016,AGO,NotStunted,All,62.4,94.75927097,49.24774001,47.07646177,0,95.59111091
2016,AGO,SurvivalTo65,All,60.85947002,85.50650231,64.53996177,58.25905197,0,90.26818482
2016,AGO,SurvivalTo65,Female,65.90548,87.87886397,69.42997878,62.38185,0,89.84857996
2016,AGO,SurvivalTo65,Male,55.90101,82.10786215,60.35743511,53.20134667,0,88.1438162
2016,AGO,U5Survival,All,91.54,99.07910512,75.74220656,73.5625,0,97.12220351
2016,ALB,AdjNetPrim,All,95.65855,100,90.60812847,90.60812847,5.050421531,100
2016,ALB,AdjNetPrim,Female,95.06893,100,89.37180285,89.37180285,5.697127155,100
2016,ALB,AdjNetPrim,Male,96.20009,100,91.75187431,91.75187431,4.448215688,100
2016,ALB,NetSecEnrol,All,85.81806,96.89272132,88.5701824,85.81806,0,96.89272132
2016,ALB,NetSecEnrol,Female,84.80211,96.89272132,87.52165163,84.80211,0,96.89272132
2016,ALB,NetSecEnrol,Male,86.78965,96.89272132,89.57293058,86.78965,0,96.89272132
2016,ALB,SurvivalTo65,All,88.12289557,88.85280487,98.99810404,93.66609814,0,94.6140323
2016,ALB,SurvivalTo65,Female,90.76234,91.4756124,99.05496309,93.452925,0,94.3445155
2016,ALB,SurvivalTo65,Male,85.64366,85.9823335,99.51605858,92.85821333,0,93.30977799
2016,ALB,U5Survival,All,99.09,99.51568909,98.64927881,97.15625,0,98.48652841
2016,ARE,AdjNetPrim,All,97.17865,100,85.61782651,85.61782651,11.56082349,100
2016,ARE,AdjNetPrim,Female,96.35118,100,81.73619117,81.73619117,14.61498883,100
2016,ARE,AdjNetPrim,Male,97.97341,100,89.48630769,89.48630769,8.487102312,100
2016,ARE,NetSecEnrol,All,87.48942,100,81.52858153,81.52858153,5.960838466,100
2016,ARE,NetSecEnrol,Female,85.56412,100,78.80319547,78.80319547,6.760924531,100
2016,ARE,NetSecEnrol,Male,89.42106,100,84.29495095,84.29495095,5.126109053,100
2016,ARE,SurvivalTo65,All,86.0008393,92.26906942,91.78142572,90.91018091,0,99.05073951
2016,ARE,SurvivalTo65,Female,87.70683,95.19715002,90.54218489,89.6335375,0,98.99643753
2016,ARE,SurvivalTo65,Male,84.36459,90.09760362,92.2628893,91.15278667,0,98.79680483
2016,ARE,U5Survival,All,99.1,99.91876637,97.43484331,97.1875,0,99.74614491
2016,ARG,NotAbsPoor,All,97.6,100,95.61476046,95.61476046,1.985239538,100
2016,ARG,SurvivalTo65,All,81.96147559,90.40725492,88.64925291,85.66425402,0,96.63279859
2016,ARG,SurvivalTo65,Female,87.62943,93.16269323,92.82909525,89.5367875,0,96.45336654
2016,ARG,SurvivalTo65,Male,76.49273,87.83424408,84.21154948,80.65697333,0,95.77899211
2016,ARG,U5Survival,All,98.91,99.70405573,97.49541278,96.59375,0,99.07517415
2016,ARM,AdjNetPrim,All,92.32759,100,86.01588458,86.01588458,6.311705417,100
2016,ARM,AdjNetPrim,Female,92.59264,100,86.48244931,86.48244931,6.110190688,100
2016,ARM,AdjNetPrim,Male,92.09656,100,85.61017281,85.61017281,6.486387188,100
2016,ARM,Contraception,All,28,81.33710336,34.42463383,32.94117647,0,95.69070983
2016,ARM,NotAbsPoor,All,85.9,100,83.00663899,83.00663899,2.893361015,100
2016,ARM,NotStunted,All,90.6,96.17837784,91.44136749,89.35532234,0,97.7187074
