country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
ABW,AdultSurvival,All,2007,89.6,95.5,5.4,86.3,5.7,85.3,99.3, 
ABW,AdultSurvival,All,2008,89.7,95.5,5.2,86.7,5.6,85.6,99.3, 
ABW,AdultSurvival,All,2009,89.8,95.4,4.4,87.7,4.8,86.7,99.2, 
ABW,AdultSurvival,All,2010,90.0,95.4,4.1,88.3,4.5,87.2,99.2, 
ABW,AdultSurvival,All,2011,90.1,95.4,4.2,88.4,4.5,87.3,99.2, 
ABW,AdultSurvival,All,2012,90.3,95.4,4.0,88.8,4.3,87.7,99.2, 
ABW,AdultSurvival,All,2013,90.4,95.4,4.1,88.9,4.4,87.8,99.2, 
ABW,AdultSurvival,All,2014,90.5,95.5,4.0,89.1,4.4,88.0,99.2, 
ABW,AdultSurvival,All,2015,90.7,95.4,3.8,89.5,4.2,88.4,99.2, 
ABW,AdultSurvival,All,2016,90.8,95.4,3.7,89.8,4.1,88.7,99.2, 
ABW,AdultSurvival,All,2017,90.9,95.4,3.6,90.1,4.0,88.9,99.2, 
ABW,AdultSurvival,Female,2007,92.0,95.7,4.9,89.9,5.2,89.3,99.7, 
ABW,AdultSurvival,Female,2008,92.1,95.7,4.7,90.2,5.0,89.6,99.7, 
ABW,AdultSurvival,Female,2009,92.2,95.7,4.1,91.1,4.4,90.4,99.6, 
ABW,AdultSurvival,Female,2010,92.3,95.7,3.8,91.5,4.1,90.8,99.6, 
ABW,AdultSurvival,Female,2011,92.4,95.7,3.8,91.6,4.1,91.0,99.6, 
ABW,AdultSurvival,Female,2012,92.5,95.7,3.6,92.0,3.9,91.3,99.6, 
ABW,AdultSurvival,Female,2013,92.6,95.7,3.6,92.1,3.9,91.4,99.6, 
ABW,AdultSurvival,Female,2014,92.7,95.7,3.5,92.3,3.8,91.7,99.6, 
ABW,AdultSurvival,Female,2015,92.8,95.7,3.4,92.6,3.7,92.0,99.6, 
ABW,AdultSurvival,Female,2016,93.0,95.7,3.2,92.9,3.5,92.2,99.6, 
ABW,AdultSurvival,Female,2017,93.1,95.7,3.1,93.1,3.4,92.5,99.6, 
ABW,AdultSurvival,Male,2007,87.1,93.3,4.6,86.6,5.0,85.2,99.0, 
ABW,AdultSurvival,Male,2008,87.3,93.3,4.4,87.0,4.9,85.6,98.9, 
ABW,AdultSurvival,Male,2009,87.5,93.2,3.6,88.1,4.1,86.6,98.8, 
ABW,AdultSurvival,Male,2010,87.6,93.1,3.3,88.7,3.7,87.2,98.8, 
ABW,AdultSurvival,Male,2011,87.8,93.2,3.4,88.9,3.8,87.3,98.8, 
ABW,AdultSurvival,Male,2012,88.0,93.2,3.2,89.3,3.6,87.8,98.8, 
ABW,AdultSurvival,Male,2013,88.1,93.2,3.3,89.4,3.7,87.9,98.8, 
ABW,AdultSurvival,Male,2014,88.3,93.2,3.2,89.8,3.6,88.2,98.8, 
ABW,AdultSurvival,Male,2015,88.5,93.2,3.0,90.2,3.5,88.6,98.8, 
ABW,AdultSurvival,Male,2016,88.6,93.2,2.9,90.5,3.3,89.0,98.8, 
ABW,AdultSurvival,Male,2017,88.8,93.2,2.8,90.8,3.3,89.3,98.8, 
ABW,BasicSanitation,All,2007,97.9,100.0,2.6,95.3,2.6,95.3,100.0, 
