year,country_code,metric_code,group,value,immediate_duty,score_wrt_immediate_duty,score_wrt_global_best,penalty,immediate_duty_wrt_global_best,source_codes
2011,ABW,BasicSanitation,All,97.60820852,100,92.46617194,92.46617194,5.142036578,100,
2011,ABW,NetSecEnrol,All,76.94634,100,74.68613796,74.68613796,2.260202037,100,
2011,ABW,NetSecEnrol,Female,80.68243,100,78.73603953,78.73603953,1.946390467,100,
2011,ABW,NetSecEnrol,Male,73.36425,100,70.82411564,70.82411564,2.540134364,100,
2011,ABW,SurvivalTo65,All,82.78532312,91.63662815,88.29759437,86.73418587,0,98.22938721,
2011,ABW,SurvivalTo65,Female,86.8906,94.50436917,90.3014708,88.61325,0,98.13046146,
2011,ABW,SurvivalTo65,Male,78.79479,89.32313604,85.64116784,83.72638667,0,97.76418139,
2011,ABW,WaterInHome,All,95.57704,100,89.2921065,89.2921065,6.2849335,100,
2006,AFG,BasicSanitation,All,29.19859454,69.3820995,42.08375756,29.19859454,0,69.3820995,
2007,AFG,BasicSanitation,All,30.27581674,74.12600111,40.84372054,30.27581674,0,74.12600111,
2008,AFG,BasicSanitation,All,31.36153802,74.57487667,42.05375781,31.36153802,0,74.57487667,
2009,AFG,BasicSanitation,All,32.45585491,80.95133602,40.09304417,32.45585491,0,80.95133602,
2010,AFG,BasicSanitation,All,33.55919242,82.71655751,40.57131176,33.55919242,0,82.71655751,
2011,AFG,BasicSanitation,All,34.67182137,83.61661628,41.46522894,34.67182137,0,83.61661628,
2012,AFG,BasicSanitation,All,35.79401257,86.59894791,41.33308018,35.79401257,0,86.59894791,
2013,AFG,BasicSanitation,All,36.92603682,86.73846099,42.57169933,36.92603682,0,86.73846099,
2014,AFG,BasicSanitation,All,38.06794051,86.59428293,43.96126305,38.06794051,0,86.59428293,
2015,AFG,BasicSanitation,All,39.22043325,86.14009316,45.53098541,39.22043325,0,86.14009316,
2006,AFG,Contraception,All,17.5,59.16298601,29.57930486,20.58823529,0,69.60351296,
2008,AFG,Contraception,All,15.2,61.8900681,24.55967567,17.88235294,0,72.81184482,
2010,AFG,Contraception,All,19.9,66.41557562,29.96285105,23.41176471,0,78.13597132,
2011,AFG,Contraception,All,20.3,66.93576201,30.32758482,23.88235294,0,78.74795531,
2012,AFG,Contraception,All,13.8,68.68921278,20.09049084,16.23529412,0,80.81083856,
2015,AFG,Contraception,All,19.8,68.41640323,28.94042812,23.29411765,0,80.48988615,
2015,AFG,FoodSecure,All,56.3,60.80338411,91.78265324,54.08602151,0,58.92837001,
2007,AFG,NetSecEnrol,All,28.04188919,56.85591611,49.32096976,28.04188919,0,56.85591611,
2013,AFG,NetSecEnrol,All,47.50445,70.62660292,67.26141147,47.50445,0,70.62660292,
2014,AFG,NetSecEnrol,All,47.31282,70.46043834,67.14806367,47.31282,0,70.46043834,
2015,AFG,NetSecEnrol,All,47.37321,69.93837957,67.73564142,47.37321,0,69.93837957,
2007,AFG,NetSecEnrol,Female,15.21352959,56.85591611,26.75804143,15.21352959,0,56.85591611,
2013,AFG,NetSecEnrol,Female,33.93507,70.62660292,48.04856612,33.93507,0,70.62660292,
2014,AFG,NetSecEnrol,Female,34.25224,70.46043834,48.61201663,34.25224,0,70.46043834,
2015,AFG,NetSecEnrol,Female,34.5789,69.93837957,49.44195192,34.5789,0,69.93837957,
2007,AFG,NetSecEnrol,Male,40.08843994,56.85591611,70.50882773,40.08843994,0,56.85591611,
2013,AFG,NetSecEnrol,Male,60.2744,70.62660292,85.34234624,60.2744,0,70.62660292,
2014,AFG,NetSecEnrol,Male,59.60809,70.46043834,84.59795512,59.60809,0,70.46043834,
2015,AFG,NetSecEnrol,Male,59.4327,69.93837957,84.97866317,59.4327,0,69.93837957,
2004,AFG,NotStunted,All,40.7,70.53422561,24.53570255,14.54272864,0,59.27170257,
2013,AFG,NotStunted,All,59.1,83.06918399,53.96666098,42.12893553,0,78.06474361,
2004,AFG,NotStunted,Female,41.5,70.53422561,26.55926564,15.74212894,0,59.27170257,
2004,AFG,NotStunted,Male,40,70.53422561,22.76508484,13.49325337,0,59.27170257,
2006,AFG,SurvivalTo65,All,56.32411738,66.13452725,80.43182932,52.36898362,0,65.10977564,
2007,AFG,SurvivalTo65,All,57.31386126,67.80823034,79.74381868,53.65436527,0,67.28341602,
2008,AFG,SurvivalTo65,All,58.03441345,67.97676792,80.87154152,54.59014734,0,67.502296,
2009,AFG,SurvivalTo65,All,58.7525943,70.59027303,78.31540663,55.52284974,0,70.89645848,
2010,AFG,SurvivalTo65,All,59.46655261,71.394775,78.46688177,56.45006832,0,71.94126624,
2011,AFG,SurvivalTo65,All,60.18108977,71.82019916,79.14892895,57.37803866,0,72.49376514,
2012,AFG,SurvivalTo65,All,60.89153022,73.30932925,78.33197633,58.3006886,0,74.42770032,
2013,AFG,SurvivalTo65,All,61.52576262,73.38215581,79.3378394,59.12436704,0,74.52228027,
2014,AFG,SurvivalTo65,All,62.16133724,73.3068992,80.55109923,59.94978863,0,74.42454442,
2015,AFG,SurvivalTo65,All,62.80067183,73.07187269,82.00304218,60.78009329,0,74.11931518,
2016,AFG,SurvivalTo65,All,63.44230579,73.0215413,83.20067243,61.61338414,0,74.05394974,
2006,AFG,SurvivalTo65,Female,59.29487,67.95487126,83.33168566,54.1185875,0,64.94358907,
2007,AFG,SurvivalTo65,Female,60.28726,69.61825886,82.59734825,55.359075,0,67.02282358,
2008,AFG,SurvivalTo65,Female,61.00975,69.78634543,83.68248417,56.2621875,0,67.23293179,
2009,AFG,SurvivalTo65,Female,61.73225,72.40673748,81.07586442,57.1653125,0,70.50842184,
2010,AFG,SurvivalTo65,Female,62.45475,73.2186451,81.18813355,58.0684375,0,71.52330638,
2011,AFG,SurvivalTo65,Female,63.17724,73.64899859,81.83531571,58.97155,0,72.06124824,
2012,AFG,SurvivalTo65,Female,63.89974,75.1609326,80.96515368,59.874675,0,73.95116575,
2013,AFG,SurvivalTo65,Female,64.57237,75.23509667,81.99930908,60.7154625,0,74.04387083,
2014,AFG,SurvivalTo65,Female,65.245,75.15845829,83.24253442,61.55625,0,73.94807286,
2015,AFG,SurvivalTo65,Female,65.91763,74.91925933,84.72209354,62.3970375,0,73.64907416,
2016,AFG,SurvivalTo65,Female,66.59025,74.86806251,85.93836428,63.2378125,0,73.58507814,
2006,AFG,SurvivalTo65,Male,53.50777,62.31123689,80.99064616,50.01036,0,61.74831585,
2007,AFG,SurvivalTo65,Male,54.48639,63.86385127,80.40805113,51.31518667,0,63.81846836,
2008,AFG,SurvivalTo65,Male,55.19505,64.02169808,81.61945864,52.26006667,0,64.02893077,
2009,AFG,SurvivalTo65,Male,55.90372,66.50543733,79.00876047,53.20496,0,67.3405831,
2010,AFG,SurvivalTo65,Male,56.61238,67.28387438,79.19132571,54.14984,0,68.37849918,
2011,AFG,SurvivalTo65,Male,57.32105,67.69821052,79.92742802,55.09473333,0,68.93094735,
2012,AFG,SurvivalTo65,Male,58.02971,69.16342868,79.05756088,56.03961333,0,70.88457158,
2013,AFG,SurvivalTo65,Male,58.6408,69.23568665,80.09814972,56.8544,0,70.98091554,
2014,AFG,SurvivalTo65,Male,59.2519,69.16101859,81.36017923,57.6692,0,70.88135811,
2015,AFG,SurvivalTo65,Male,59.86299,68.92821785,82.8725995,58.48398667,0,70.57095713,
2016,AFG,SurvivalTo65,Male,60.47408,68.87843933,84.10626442,59.29877333,0,70.50458577,
2006,AFG,U5Survival,All,89.39,95.2632141,78.4573672,66.84375,0,85.19754407,
2007,AFG,U5Survival,All,89.8,95.71909549,78.64614488,68.125,0,86.62217342,
2008,AFG,U5Survival,All,90.21,95.76317915,79.99804302,69.40625,0,86.75993485,
2009,AFG,U5Survival,All,90.61,96.40798497,79.59029838,70.65625,0,88.77495302,
2010,AFG,U5Survival,All,91,96.59285553,80.43967478,71.875,0,89.35267353,
2011,AFG,U5Survival,All,91.38,96.68822304,81.49685664,73.0625,0,89.65069699,
2012,AFG,U5Survival,All,91.74,97.00968901,81.83472768,74.1875,0,90.65527815,
2013,AFG,U5Survival,All,92.08,97.02493648,82.96314451,75.25,0,90.70292651,
2014,AFG,U5Survival,All,92.4,97.0091795,84.11130691,76.25,0,90.65368593,
2015,AFG,U5Survival,All,92.69,96.95967392,85.25648481,77.15625,0,90.49898102,
2016,AFG,U5Survival,All,92.96,96.94901341,86.22055491,78,0,90.4656669,
2010,AFG,U5Survival,Female,91.45,96.90259594,81.13458061,73.28125,0,90.3206123,
2015,AFG,U5Survival,Female,93.12,97.2360672,85.92126918,78.5,0,91.36271001,
2010,AFG,U5Survival,Male,90.58,96.28311512,79.83561889,70.5625,0,88.38473476,
2015,AFG,U5Survival,Male,92.28,96.68328065,84.64861569,75.875,0,89.63525202,
2006,AFG,WaterInHome,All,20.81109,48.40746503,42.99148899,20.81109,0,48.40746503,
2007,AFG,WaterInHome,All,22.60829,54.62402945,41.38890929,22.60829,0,54.62402945,
2008,AFG,WaterInHome,All,24.47699,55.22517025,44.32216305,24.47699,0,55.22517025,
2009,AFG,WaterInHome,All,26.4172,64.01797682,41.26528408,26.4172,0,64.01797682,
2010,AFG,WaterInHome,All,28.42968,66.53893905,42.72638008,28.42968,0,66.53893905,
2011,AFG,WaterInHome,All,30.51482,67.83940503,44.98096643,30.51482,0,67.83940503,
2012,AFG,WaterInHome,All,32.67301,72.22303194,45.23904511,32.67301,0,72.22303194,
2013,AFG,WaterInHome,All,34.90466,72.43095205,48.19025432,34.90466,0,72.43095205,
2014,AFG,WaterInHome,All,37.20967,72.21608406,51.52546069,37.20967,0,72.21608406,
2015,AFG,WaterInHome,All,39.58937,71.54100807,55.33800972,39.58937,0,71.54100807,
2008,AGO,AdjNetPrim,All,80.19909668,100,70.064752,70.064752,10.13434468,100,
2009,AGO,AdjNetPrim,All,79.69084167,100,69.50006524,69.50006524,10.19077644,100,
2010,AGO,AdjNetPrim,All,75.28184,100,63.46615681,63.46615681,11.81568319,100,
2011,AGO,AdjNetPrim,All,77.45058,100,66.38794039,66.38794039,11.06263961,100,
2008,AGO,AdjNetPrim,Female,75.41162109,100,63.44579851,63.44579851,11.96582258,100,
2009,AGO,AdjNetPrim,Female,74.50919342,100,62.4005023,62.4005023,12.10869112,100,
2010,AGO,AdjNetPrim,Female,67.71203,100,53.56025666,53.56025666,14.15177334,100,
2011,AGO,AdjNetPrim,Female,66.3875,100,51.853316,51.853316,14.534184,100,
2008,AGO,AdjNetPrim,Male,84.97544098,100,76.91394049,76.91394049,8.061500489,100,
2009,AGO,AdjNetPrim,Male,84.85540009,100,76.8587163,76.8587163,7.996683783,100,
2010,AGO,AdjNetPrim,Male,83.04865,100,74.27215767,74.27215767,8.776492332,100,
2011,AGO,AdjNetPrim,Male,88.78511,100,82.63825912,82.63825912,6.146850879,100,
2006,AGO,BasicSanitation,All,27.98814828,100,22.994759,22.994759,4.99338928,100,
2007,AGO,BasicSanitation,All,29.25132348,100,21.28683763,21.28683763,7.964485843,100,
2008,AGO,BasicSanitation,All,30.51835214,100,20.89984154,20.89984154,9.6185106,100,
2009,AGO,BasicSanitation,All,31.78762514,100,22.25130551,22.25130551,9.536319636,100,
2010,AGO,BasicSanitation,All,33.06118016,100,23.45729454,23.45729454,9.603885629,100,
2011,AGO,BasicSanitation,All,34.33781183,100,24.61130688,24.61130688,9.72650495,100,
2012,AGO,BasicSanitation,All,35.61386093,100,25.55790066,25.55790066,10.05596027,100,
2013,AGO,BasicSanitation,All,36.88768637,100,26.22952379,26.22952379,10.65816257,100,
2014,AGO,BasicSanitation,All,38.15968145,100,27.25333048,27.25333048,10.90635097,100,
2015,AGO,BasicSanitation,All,39.42942284,100,28.56859076,28.56859076,10.86083208,100,
