year,country_code,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best
2008,AGO,Education,All,Core,40.51877267,40.09622592,96.14914152
2009,AGO,Education,All,Core,40.50274464,40.05304785,96.09143659
2010,AGO,Education,All,Core,37.91202499,37.42794341,96.08281459
2011,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2012,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2013,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2014,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2015,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2016,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2008,AGO,Education,Female,Core,36.86776206,36.47151929,96.14914152
2009,AGO,Education,Female,Core,36.62107924,36.19732623,96.09143659
2010,AGO,Education,Female,Core,32.24122597,31.81338333,96.08281459
2011,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2012,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2013,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2014,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2015,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2016,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2008,AGO,Education,Male,Core,44.2886334,43.83949521,96.14914152
2009,AGO,Education,Male,Core,44.51681205,44.04094806,96.09143659
2010,AGO,Education,Male,Core,44.05826344,43.51595383,96.08281459
2011,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2012,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2013,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2014,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2015,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2016,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2006,ALB,Education,All,Core,79.49234749,76.74877255,96.30468595
2007,ALB,Education,All,Core,79.49234749,76.74877255,96.30468595
2008,ALB,Education,All,Core,77.88425425,75.14067931,96.30468595
2009,ALB,Education,All,Core,76.92177884,74.1782039,96.30468595
2010,ALB,Education,All,Core,73.91413878,71.17056384,96.30468595
2011,ALB,Education,All,Core,74.5780449,71.83446996,96.30468595
2013,ALB,Education,All,Core,87.69985639,86.16448804,98.23620172
2014,ALB,Education,All,Core,90.05398179,88.5456166,98.29000349
2015,ALB,Education,All,Core,89.72847214,88.26868384,98.3565356
2016,ALB,Education,All,Core,89.58915543,88.21309423,98.44636066
2006,ALB,Education,Female,Core,78.98211837,76.29588208,96.30468595
2007,ALB,Education,Female,Core,78.98211837,76.29588208,96.30468595
2008,ALB,Education,Female,Core,76.80322792,74.11699164,96.30468595
2009,ALB,Education,Female,Core,75.51870425,72.83246797,96.30468595
2010,ALB,Education,Female,Core,72.93783073,70.25159445,96.30468595
2011,ALB,Education,Female,Core,73.66384259,70.97760631,96.30468595
2013,ALB,Education,Female,Core,87.30487194,85.76794496,98.23620172
2014,ALB,Education,Female,Core,89.41808874,87.92329694,98.29000349
2015,ALB,Education,Female,Core,88.47713617,87.03341239,98.3565356
2016,ALB,Education,Female,Core,88.44672724,87.08695642,98.44636066
2006,ALB,Education,Male,Core,80.01027835,77.21016388,96.30468595
2007,ALB,Education,Male,Core,80.01027835,77.21016388,96.30468595
2008,ALB,Education,Male,Core,78.93527672,76.13516226,96.30468595
2009,ALB,Education,Male,Core,78.27648379,75.47636932,96.30468595
2010,ALB,Education,Male,Core,74.86477097,72.06465651,96.30468595
2011,ALB,Education,Male,Core,75.46999773,72.66988326,96.30468595
2013,ALB,Education,Male,Core,88.06230879,86.52839393,98.23620172
2014,ALB,Education,Male,Core,90.64704836,89.12589042,98.29000349
2015,ALB,Education,Male,Core,90.89773125,89.42265807,98.3565356
2016,ALB,Education,Male,Core,90.66240245,89.27076216,98.44636066
2009,ALB,Education,All,HiY,50.65774874,42.99120032,78.43857588
2010,ALB,Education,All,HiY,50.65774874,42.99120032,78.43857588
2011,ALB,Education,All,HiY,50.65774874,42.99120032,78.43857588
2013,ALB,Education,All,HiY,60.12675531,53.29257308,82.29908051
2014,ALB,Education,All,HiY,60.70660214,53.89942308,82.35288228
