year,country_code,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best
2016,AGO,Education,All,Core,39.37291679,38.8888352,96.08281459
2016,AGO,Education,Female,Core,31.38775564,30.959913,96.08281459
2016,AGO,Education,Male,Core,48.24131417,47.69900456,96.08281459
2016,ALB,Education,All,Core,89.58915543,88.21309423,98.44636066
2016,ALB,Education,Female,Core,88.44672724,87.08695642,98.44636066
2016,ALB,Education,Male,Core,90.66240245,89.27076216,98.44636066
2016,ALB,Education,All,HiY,62.94665102,55.93192083,83.6444697
2016,ALB,Education,Female,HiY,66.12122649,58.08910726,83.6444697
2016,ALB,Education,Male,HiY,60.50691972,54.31388551,83.6444697
2016,ARE,Education,All,Core,83.57320402,83.57320402,100
2016,ARE,Education,Female,Core,80.26969332,80.26969332,100
2016,ARE,Education,Male,Core,86.89062932,86.89062932,100
2016,ARE,Education,All,HiY,59.99240973,59.24501597,98.04759332
2016,ARE,Education,Female,HiY,60.16439984,59.36079965,98.04759332
2016,ARE,Education,Male,HiY,58.73129793,58.08473137,98.04759332
2016,ARG,Education,All,Core,94.35389894,93.89134559,99.48301827
2016,ARG,Education,Female,Core,95.32695422,94.85189638,99.48301827
2016,ARG,Education,Male,Core,93.41325564,92.96279685,99.48301827
2016,ARG,Education,All,HiY,61.19360521,58.21312493,91.95039573
2016,ARG,Education,Female,HiY,61.29587025,58.53135502,91.95039573
2016,ARG,Education,Male,HiY,61.29858613,58.11303205,91.95039573
2016,ARM,Education,All,Core,90.84874716,87.55823145,96.56097371
2016,ARM,Education,Female,Core,93.24122466,91.9364189,96.56097371
2016,ARM,Education,Male,Core,87.0999233,84.05330113,96.56097371
2016,ATG,Education,All,Core,64.78380164,64.45446428,99.56114733
2016,ATG,Education,Female,Core,65.19887759,64.86323303,99.56114733
2016,ATG,Education,Male,Core,64.38559967,64.06244024,99.56114733
2016,AUS,Education,All,Core,89.17175934,89.17175934,100
2016,AUS,Education,Female,Core,90.19254107,90.19254107,100
2016,AUS,Education,Male,Core,88.21425044,88.21425044,100
2016,AUS,Education,All,HiY,82.68583777,80.45821823,96.97997635
2016,AUS,Education,Female,HiY,84.03309093,81.74284306,96.97997635
2016,AUS,Education,Male,HiY,81.99040723,79.77925868,96.97997635
2016,BDI,Education,All,Core,100,64.897495,51.41144565
2016,BDI,Education,Female,Core,100,65.51991,51.41144565
2016,BDI,Education,Male,Core,100,64.255905,51.41144565
2016,BEL,Education,All,Core,92.85964542,92.85964542,100
2016,BEL,Education,Female,Core,93.03124771,93.03124771,100
2016,BEL,Education,Male,Core,92.69556424,92.69556424,100
2016,BEL,Education,All,HiY,83.764268,81.37532815,96.80931616
2016,BEL,Education,Female,HiY,83.84085196,81.47185483,96.80931616
2016,BEL,Education,Male,HiY,83.71526702,81.30138801,96.80931616
2016,BEN,Education,All,Core,80.37365029,71.47067,86.19282367
2016,BEN,Education,Female,Core,72.50073569,64.71372,86.01375423
2016,BEN,Education,Male,Core,86.52039726,76.52267,86.01375423
2016,BFA,Education,All,Core,59.48430579,51.97889,82.71110033
2016,BFA,Education,Female,Core,58.84995469,51.37728,82.71110033
2016,BFA,Education,Male,Core,60.09635475,52.559395,82.71110033
2016,BGD,Education,All,Core,84.65468202,78.88871039,92.26335713
2016,BGD,Education,Female,Core,89.39788875,83.30040377,92.26335713
2016,BGD,Education,Male,Core,80.11382725,74.66480212,92.26335713
2016,BGR,Education,All,Core,86.78432169,86.20839657,99.37028687
2016,BGR,Education,Female,Core,85.91171726,85.34372652,99.37028687
2016,BGR,Education,Male,Core,87.60800627,87.02460761,99.37028687
2016,BGR,Education,All,HiY,71.29250248,66.25871331,90.7363965
2016,BGR,Education,Female,HiY,73.34270759,67.87233502,90.7363965
2016,BGR,Education,Male,HiY,69.31470451,64.71161549,90.7363965
2016,BHR,Education,All,Core,91.37155372,91.37155372,100
2016,BHR,Education,Female,Core,93.61747236,93.61747236,100
2016,BHR,Education,Male,Core,89.28096326,89.28096326,100
2016,BHS,Education,All,Core,73.66813231,73.62686609,99.94978973
2016,BHS,Education,Female,Core,79.91131429,79.86827977,99.94978973
2016,BHS,Education,Male,Core,68.06176301,68.02220234,99.94978973
2016,BLR,Education,All,Core,94.64049794,93.92144141,99.27105077
2016,BLR,Education,Female,Core,95.45193519,94.76915643,99.31684569
2016,BLR,Education,Male,Core,94.47823174,93.80450148,99.31684569
2016,BLZ,Education,All,Core,87.37971597,85.3490657,97.33798954
2016,BLZ,Education,Female,Core,87.64803147,85.57528321,97.33798954
2016,BLZ,Education,Male,Core,87.10134615,85.11252311,97.33798954
2016,BMU,Education,All,Core,53.67511242,53.67511242,100
2016,BMU,Education,Female,Core,54.77739009,54.77739009,100
2016,BMU,Education,Male,Core,52.88202809,52.88202809,100
2016,BOL,Education,All,Core,84.23572484,81.45953045,96.67677558
2016,BOL,Education,Female,Core,83.87419648,81.09378441,96.67677558
2016,BOL,Education,Male,Core,84.58615486,81.81404715,96.67677558
2016,BRA,Education,All,Core,85.13555568,84.32879006,99.02755858
2016,BRA,Education,Female,Core,86.83106284,86.00706454,99.02755858
2016,BRA,Education,Male,Core,83.52399364,82.73378762,99.02755858
2016,BRA,Education,All,HiY,54.8515281,51.29774524,88.76468987
2016,BRA,Education,Female,HiY,55.1627609,51.75672831,88.76468987
2016,BRA,Education,Male,HiY,54.20657695,50.61409684,88.76468987
2016,BRB,Education,All,Core,90.02522176,89.30842794,99.26776524
2016,BRB,Education,Female,Core,92.73678007,92.53697507,99.26776524
2016,BRB,Education,Male,Core,86.97998325,86.2853266,99.26776524
2016,BRN,Education,All,Core,78.67944167,78.67944167,100
2016,BRN,Education,Female,Core,79.06125815,79.06125815,100
2016,BRN,Education,Male,Core,78.33452076,78.33452076,100
2016,BTN,Education,All,Core,68.56052716,66.87963034,97.48625134
2016,BTN,Education,Female,Core,71.88166711,70.07356531,97.48625134
2016,BTN,Education,Male,Core,65.34403544,63.78670291,97.48625134
2016,CAF,Education,All,Core,54.19744371,41.027875,66.09292651
2016,CAF,Education,Female,Core,44.42533691,34.796335,66.09292651
2016,CAF,Education,Male,Core,64.11101093,47.347215,66.09292651
2016,CAN,Education,All,Core,99.70541321,99.70541321,100
