country_code,year,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best
ABW,2007,Education,All,Core,85.8,85.8,100
ABW,2007,Education,Female,Core,81.1,81.1,100
ABW,2007,Education,Male,Core,85.6,85.6,100
ABW,2007,Housing,All,Core,90.8,90.8,100
ABW,2008,Education,All,Core,82.9,82.9,100
ABW,2008,Education,Female,Core,78.9,78.9,100
ABW,2008,Education,Male,Core,81.1,81.1,100
ABW,2008,Housing,All,Core,91.0,91.0,100
ABW,2009,Education,All,Core,78.4,78.4,100
ABW,2009,Education,Female,Core,84.1,84.1,100
ABW,2009,Education,Male,Core,73.1,73.1,100
ABW,2009,Housing,All,Core,91.7,91.7,100
ABW,2010,Education,All,Core,85.2,85.2,100
ABW,2010,Education,Female,Core,84.1,84.1,100
ABW,2010,Education,Male,Core,73.1,73.1,100
ABW,2010,Housing,All,Core,92.1,92.1,100
ABW,2011,Education,All,Core,84.8,84.8,100
ABW,2011,Education,Female,Core,84.0,84.0,100
ABW,2011,Education,Male,Core,72.5,72.5,100
ABW,2011,Housing,All,Core,92.2,92.2,100
ABW,2012,Education,All,Core,84.8,84.8,100
ABW,2012,Education,Female,Core,84.0,84.0,100
ABW,2012,Education,Male,Core,72.5,72.5,100
ABW,2012,Housing,All,Core,92.5,92.5,100
ABW,2013,Education,All,Core,84.8,84.8,100
ABW,2013,Education,Female,Core,84.0,84.0,100
ABW,2013,Education,Male,Core,72.5,72.5,100
ABW,2013,Housing,All,Core,92.4,92.4,100
ABW,2014,Education,All,Core,85.5,85.5,100
ABW,2014,Education,Female,Core,84.0,84.0,100
ABW,2014,Education,Male,Core,72.5,72.5,100
ABW,2014,Housing,All,Core,92.3,92.3,100
ABW,2015,Education,All,Core,85.5,85.5,100
ABW,2015,Education,Female,Core,84.0,84.0,100
ABW,2015,Education,Male,Core,72.5,72.5,100
ABW,2015,Housing,All,Core,92.4,92.4,100
ABW,2016,Education,All,Core,85.5,85.5,100
ABW,2016,Education,Female,Core,84.0,84.0,100
ABW,2016,Education,Male,Core,72.5,72.5,100
ABW,2016,Housing,All,Core,92.4,92.4,100
ABW,2017,Education,All,Core,85.5,85.5,100
ABW,2017,Education,Female,Core,84.0,84.0,100
ABW,2017,Education,Male,Core,72.5,72.5,100
ABW,2017,Housing,All,Core,92.4,92.4,100
AFG,2007,Food,All,Core,25.2,14.5,57.67558824
AFG,2007,Food,Female,Core,27.3,15.7,57.67558824
AFG,2007,Food,Male,Core,23.4,13.5,57.67558824
AFG,2007,Health,All,Core,65.6,53.1,78.54478818
AFG,2007,Housing,All,Core,44.6,27.1,60.75214719
AFG,2008,Food,All,Core,25.2,14.5,57.67558824
AFG,2008,Food,Female,Core,27.3,15.7,57.67558824
AFG,2008,Food,Male,Core,23.4,13.5,57.67558824
AFG,2008,Health,All,Core,68.0,55.4,79.89078299
AFG,2008,Housing,All,Core,46.1,28.4,61.6294061
AFG,2009,Food,All,Core,25.2,14.5,57.67558824
AFG,2009,Food,Female,Core,27.3,15.7,57.67558824
AFG,2009,Food,Male,Core,23.4,13.5,57.67558824
AFG,2009,Health,All,Core,67.2,56.1,81.46669103
