year,country_code,metric_code,people_code,count,proportion,total_respondents
2019,AGO,arrest_atrisk,0,0,0,16
2019,AGO,arrest_atrisk,1,2,.125,16
2019,AGO,arrest_atrisk,2,1,.0625,16
2019,AGO,arrest_atrisk,3,1,.0625,16
2019,AGO,arrest_atrisk,4,0,0,16
2019,AGO,arrest_atrisk,5,1,.0625,16
2019,AGO,arrest_atrisk,6,2,.125,16
2019,AGO,arrest_atrisk,7,0,0,16
2019,AGO,arrest_atrisk,8,4,.25,16
2019,AGO,arrest_atrisk,9,2,.125,16
2019,AGO,arrest_atrisk,10,5,.3125,16
2019,AGO,arrest_atrisk,11,5,.3125,16
2019,AGO,arrest_atrisk,12,0,0,16
2019,AGO,arrest_atrisk,13,1,.0625,16
2019,AGO,arrest_atrisk,14,1,.0625,16
2019,AGO,arrest_atrisk,15,1,.0625,16
2019,AGO,arrest_atrisk,16,1,.0625,16
2019,AGO,arrest_atrisk,17,5,.3125,16
2019,AGO,arrest_atrisk,18,8,.5,16
2019,AGO,arrest_atrisk,19,9,.5625,16
2019,AGO,arrest_atrisk,20,5,.3125,16
2019,AGO,arrest_atrisk,21,7,.4375,16
2019,AGO,arrest_atrisk,22,5,.3125,16
2019,AGO,arrest_atrisk,23,3,.1875,16
2019,AGO,arrest_atrisk,24,6,.375,16
2019,AGO,arrest_atrisk,25,3,.1875,16
2019,AGO,arrest_atrisk,26,2,.125,16
2019,AGO,arrest_atrisk,27,6,.375,16
2019,AGO,arrest_atrisk,28,1,.0625,16
2019,AGO,arrest_atrisk,29,1,.0625,16
2019,AGO,arrest_atrisk,30,5,.3125,16
2019,AGO,arrest_atrisk,31,3,.1875,16
2019,AGO,arrest_atrisk,32,2,.125,16
2019,AGO,arrest_atrisk,33,0,0,16
2019,AGO,assem_atrisk,0,1,.0625,16
2019,AGO,assem_atrisk,1,1,.0625,16
2019,AGO,assem_atrisk,2,2,.125,16
2019,AGO,assem_atrisk,3,1,.0625,16
2019,AGO,assem_atrisk,4,1,.0625,16
2019,AGO,assem_atrisk,5,2,.125,16
2019,AGO,assem_atrisk,6,3,.1875,16
2019,AGO,assem_atrisk,7,0,0,16
2019,AGO,assem_atrisk,8,3,.1875,16
2019,AGO,assem_atrisk,9,0,0,16
2019,AGO,assem_atrisk,10,3,.1875,16
2019,AGO,assem_atrisk,11,1,.0625,16
2019,AGO,assem_atrisk,12,1,.0625,16
2019,AGO,assem_atrisk,13,1,.0625,16
2019,AGO,assem_atrisk,14,1,.0625,16
2019,AGO,assem_atrisk,15,1,.0625,16
2019,AGO,assem_atrisk,16,0,0,16
2019,AGO,assem_atrisk,17,6,.375,16
2019,AGO,assem_atrisk,18,5,.3125,16
2019,AGO,assem_atrisk,19,8,.5,16
2019,AGO,assem_atrisk,20,4,.25,16
2019,AGO,assem_atrisk,21,9,.5625,16
2019,AGO,assem_atrisk,22,4,.25,16
2019,AGO,assem_atrisk,23,1,.0625,16
2019,AGO,assem_atrisk,24,4,.25,16
2019,AGO,assem_atrisk,25,1,.0625,16
2019,AGO,assem_atrisk,26,0,0,16
2019,AGO,assem_atrisk,27,4,.25,16
2019,AGO,assem_atrisk,28,0,0,16
2019,AGO,assem_atrisk,29,1,.0625,16
2019,AGO,assem_atrisk,30,3,.1875,16
2019,AGO,assem_atrisk,31,3,.1875,16
2019,AGO,assem_atrisk,32,1,.0625,16
2019,AGO,assem_atrisk,33,0,0,16
2019,AGO,disap_atrisk,0,0,0,16
2019,AGO,disap_atrisk,1,2,.125,16
2019,AGO,disap_atrisk,2,0,0,16
2019,AGO,disap_atrisk,3,1,.0625,16
2019,AGO,disap_atrisk,4,0,0,16
2019,AGO,disap_atrisk,5,1,.0625,16
2019,AGO,disap_atrisk,6,1,.0625,16
2019,AGO,disap_atrisk,7,0,0,16
2019,AGO,disap_atrisk,8,2,.125,16
2019,AGO,disap_atrisk,9,0,0,16
2019,AGO,disap_atrisk,10,1,.0625,16
2019,AGO,disap_atrisk,11,2,.125,16
2019,AGO,disap_atrisk,12,0,0,16
2019,AGO,disap_atrisk,13,0,0,16
2019,AGO,disap_atrisk,14,0,0,16
2019,AGO,disap_atrisk,15,0,0,16
2019,AGO,disap_atrisk,16,0,0,16
2019,AGO,disap_atrisk,17,3,.1875,16
2019,AGO,disap_atrisk,18,1,.0625,16
2019,AGO,disap_atrisk,19,2,.125,16
2019,AGO,disap_atrisk,20,1,.0625,16
2019,AGO,disap_atrisk,21,3,.1875,16
2019,AGO,disap_atrisk,22,3,.1875,16
2019,AGO,disap_atrisk,23,2,.125,16
2019,AGO,disap_atrisk,24,2,.125,16
2019,AGO,disap_atrisk,25,2,.125,16
2019,AGO,disap_atrisk,26,1,.0625,16
2019,AGO,disap_atrisk,27,3,.1875,16
2019,AGO,disap_atrisk,28,1,.0625,16
2019,AGO,disap_atrisk,29,1,.0625,16
2019,AGO,disap_atrisk,30,2,.125,16
2019,AGO,disap_atrisk,31,2,.125,16
2019,AGO,disap_atrisk,32,0,0,16
2019,AGO,disap_atrisk,33,0,0,16
2019,AGO,dpex_atrisk,0,0,0,16
2019,AGO,dpex_atrisk,1,0,0,16
2019,AGO,dpex_atrisk,2,0,0,16
2019,AGO,dpex_atrisk,3,0,0,16
2019,AGO,dpex_atrisk,4,0,0,16
2019,AGO,dpex_atrisk,5,0,0,16
2019,AGO,dpex_atrisk,6,0,0,16
2019,AGO,dpex_atrisk,7,0,0,16
2019,AGO,dpex_atrisk,8,0,0,16
2019,AGO,dpex_atrisk,9,0,0,16
2019,AGO,dpex_atrisk,10,0,0,16
2019,AGO,dpex_atrisk,11,0,0,16
2019,AGO,dpex_atrisk,12,0,0,16
2019,AGO,dpex_atrisk,13,0,0,16
2019,AGO,dpex_atrisk,14,0,0,16
2019,AGO,dpex_atrisk,15,0,0,16
2019,AGO,dpex_atrisk,16,0,0,16
2019,AGO,dpex_atrisk,17,0,0,16
2019,AGO,dpex_atrisk,18,0,0,16
2019,AGO,dpex_atrisk,19,0,0,16
2019,AGO,dpex_atrisk,20,0,0,16
2019,AGO,dpex_atrisk,21,0,0,16
2019,AGO,dpex_atrisk,22,0,0,16
2019,AGO,dpex_atrisk,23,0,0,16
2019,AGO,dpex_atrisk,24,0,0,16
2019,AGO,dpex_atrisk,25,0,0,16
2019,AGO,dpex_atrisk,26,0,0,16
2019,AGO,dpex_atrisk,27,0,0,16
2019,AGO,dpex_atrisk,28,0,0,16
2019,AGO,dpex_atrisk,29,0,0,16
2019,AGO,dpex_atrisk,30,0,0,16
2019,AGO,dpex_atrisk,31,0,0,16
2019,AGO,dpex_atrisk,32,0,0,16
2019,AGO,dpex_atrisk,33,0,0,16
2019,AGO,educ_atrisk,0,0,0,14
2019,AGO,educ_atrisk,1,4,.2857143,14
2019,AGO,educ_atrisk,2,6,.42857143,14
2019,AGO,educ_atrisk,3,5,.35714287,14
2019,AGO,educ_atrisk,4,2,.14285715,14
